Role,Company,Vacancy Link,Experience Needed,Salary
Opprotunity For Data Analyst,Hexaware Technologies,https://www.naukri.com/job-listings-opprotunity-for-data-analyst-hexaware-technologies-limited-pune-chennai-mumbai-all-areas-1-to-6-years-200722004274,1-6 Yrs,Not disclosed
Sr . Data Analyst,NEWJ - New Emerging World of Journalism,https://www.naukri.com/job-listings-250622500161,5-10 Yrs,Not disclosed
Data Analyst,Dun & Bradstreet,https://www.naukri.com/job-listings-data-analyst-dun-bradstreet-information-services-india-pvt-lt-d-mumbai-mumbai-suburban-navi-mumbai-1-to-3-years-200722906197,1-3 Yrs,Not disclosed
Data Research Analyst - Commodities & Energy,Morningstar,https://www.naukri.com/job-listings-data-research-analyst-commodities-energy-morningstar-india-p-ltd-mumbai-0-to-2-years-220722004918,0-2 Yrs,"3,50,000 - 4,50,000 PA."
MDP Associate (Earlier known as Data Research Analyst),Morningstar,https://www.naukri.com/job-listings-mdp-associate-earlier-known-as-data-research-analyst-morningstar-india-p-ltd-mumbai-0-to-2-years-210722010885,0-2 Yrs,"3,00,000 - 4,75,000 PA."
MDP Associate (Earlier known as Data Research Analyst),Morningstar,https://www.naukri.com/job-listings-mdp-associate-earlier-known-as-data-research-analyst-morningstar-india-p-ltd-mumbai-0-to-2-years-200722003752,0-2 Yrs,"3,50,000 - 4,75,000 PA."
Data Analyst - Planning & Analysis - Insurance,SevingSkill,https://www.naukri.com/job-listings-data-analyst-planning-analysis-insurance-sevingskill-mumbai-0-to-2-years-210722905341,0-2 Yrs,Not disclosed
Petroleum Data Analyst,Shiv Singh,https://www.naukri.com/job-listings-petroleum-data-analyst-shiv-singh-kolkata-delhi-ncr-mumbai-all-areas-0-to-5-years-110722002431,0-5 Yrs,"1,00,000 - 2,75,000 PA."
"Hiring Data Analyst - Forensics, KPMG India",KPMG India,https://www.naukri.com/job-listings-hiring-data-analyst-forensics-kpmg-india-kpmg-india-noida-kolkata-mumbai-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-2-to-6-years-190722008527,2-6 Yrs,Not disclosed
Data Analyst,SBICAP Securities,https://www.naukri.com/job-listings-data-analyst-sbicap-securities-limited-mumbai-all-areas-2-to-3-years-220722001053,Other Graduate,Not disclosed
Senior Data Analyst,Talent et au-dela,https://www.naukri.com/job-listings-senior-data-analyst-talent-et-au-dela-mumbai-pune-5-to-7-years-180722501100,5-7 Yrs,Not disclosed
Data Analyst,Community Biodata,https://www.naukri.com/job-listings-data-analyst-community-biodata-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262,0-5 Yrs,Not disclosed
Data Analyst - CRM Platform,Artech infosystem,https://www.naukri.com/job-listings-data-analyst-crm-platform-artech-infosystem-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-1-to-6-years-080722903046,1-6 Yrs,Not disclosed
Business Analyst / Data information analyst/ Sr Analyst,Citicorp Finance,https://www.naukri.com/job-listings-business-analyst-data-information-analyst-sr-analyst-citicorp-services-india-pvt-ltd-chennai-mumbai-all-areas-3-to-8-years-120722002460,3-8 Yrs,Not disclosed
Business Data Analyst - Tableau/Power BI,Mantras2Success Consultants,https://www.naukri.com/job-listings-business-data-analyst-tableau-power-bi-mantras2success-consultants-mumbai-0-to-2-years-070722907415,0-2 Yrs,Not disclosed
Role,Company,Vacancy Link,Experience Needed,Salary
Senior Data Analyst,Capgemini,https://www.naukri.com/job-listings-senior-data-analyst-capgemini-technology-services-india-limited-mumbai-6-to-11-years-210722901623,6-11 Yrs,Not disclosed
Assistant Manager/Manager Business Systems & Data Analyst,LOreal,https://www.naukri.com/job-listings-assistant-manager-manager-business-systems-data-analyst-loreal-india-pvt-ltd-mumbai-2-to-7-years-220722500263,2-7 Yrs,Not disclosed
MIS Executive/ Data Analyst - Mumbai,Minivel Services,https://www.naukri.com/job-listings-mis-executive-data-analyst-mumbai-minivel-services-llp-mumbai-3-to-6-years-210722005751,3-6 Yrs,"3,00,000 - 4,25,000 PA."
Senior Data Analyst,idfc first bank,https://www.naukri.com/job-listings-senior-data-analyst-idfc-first-bank-mumbai-3-to-4-years-180722500143,3-4 Yrs,Not disclosed
Data Analyst | Sr. Data Analyst |Data Research & Analysis,Virtina AI,https://www.naukri.com/job-listings-data-analyst-sr-data-analyst-data-research-analysis-virtina-ai-mumbai-nasik-nashik-pune-0-to-3-years-150722008516,0-3 Yrs,Not disclosed
CRM Data Analyst,Enfusion,https://www.naukri.com/job-listings-crm-data-analyst-enfusion-mumbai-3-to-5-years-200722501854,3-5 Yrs,Not disclosed
Opprotunity For Data Analyst,Hexaware Technologies,https://www.naukri.com/job-listings-opprotunity-for-data-analyst-hexaware-technologies-limited-pune-chennai-mumbai-all-areas-1-to-6-years-200722004274,1-6 Yrs,Not disclosed
Sr . Data Analyst,NEWJ - New Emerging World of Journalism,https://www.naukri.com/job-listings-250622500161,5-10 Yrs,Not disclosed
Data Analyst,Dun & Bradstreet,https://www.naukri.com/job-listings-data-analyst-dun-bradstreet-information-services-india-pvt-lt-d-mumbai-mumbai-suburban-navi-mumbai-1-to-3-years-200722906197,1-3 Yrs,Not disclosed
Data Research Analyst - Commodities & Energy,Morningstar,https://www.naukri.com/job-listings-data-research-analyst-commodities-energy-morningstar-india-p-ltd-mumbai-0-to-2-years-220722004918,0-2 Yrs,"3,50,000 - 4,50,000 PA."
